Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR
Noor Ahmad (CSK),7,7,144,24,0,171,12,Apr-18,14.25,7.12,12
Kuldeep Yadav (DC),6,6,144,24,0,145,11,Mar-22,13.18,6.04,13.09
HH Pandya (MI),6,6,120,20,0,183,11,May-36,16.63,9.15,10.9
KK Ahmed (CSK),7,7,162,27,0,243,11,Mar-29,22.09,9,14.72
SN Thakur (LSG),7,7,150,25,0,274,11,Apr-34,24.9,10.96,13.63
M Prasidh Krishna (GT),6,6,138,23,0,160,10,Mar-24,16,6.95,13.8
R Sai Kishore (GT),6,6,119,19.5,0,168,10,Mar-30,16.8,8.47,11.9
CV Varun (KKR),7,7,162,27,0,168,10,Mar-22,16.8,6.22,16.2
Harshit Rana (KKR),7,7,138,23,0,203,10,Mar-25,20.3,8.82,13.8
Mohammed Siraj (GT),6,6,144,24,0,204,10,Apr-17,20.4,8.5,14.4
MA Starc (DC),6,6,130,21.4,0,218,10,May-35,21.8,10.06,13
JR Hazlewood (RCB),6,6,131,21.5,0,189,9,Mar-21,21,8.65,14.55
HV Patel (SRH),6,6,120,20,0,195,9,Apr-42,21.66,9.75,13.33
DS Rathi (LSG),7,7,168,28,0,208,9,Feb-30,23.11,7.42,18.66
KH Pandya (RCB),6,6,114,19,0,182,8,Apr-45,22.75,9.57,14.25
VG Arora (KKR),6,6,129,21.3,1,196,8,Mar-29,24.5,9.11,16.12
Arshdeep Singh (PBKS),6,6,138,23,1,201,8,Mar-43,25.12,8.73,17.25
Ravi Bishnoi (LSG),7,7,156,26,0,279,8,Feb-18,34.87,10.73,19.5
SP Narine (KKR),6,6,126,21,0,154,7,Mar-13,22,7.33,18
V Nigam (DC),6,6,102,17,0,155,7,Feb-18,22.14,9.11,14.57
PW Hasaranga (RR),5,5,108,18,0,176,7,Apr-35,25.14,9.77,15.42
Yash Dayal (RCB),6,6,125,20.5,0,190,7,Feb-18,27.14,9.12,17.85
M Pathirana (CSK),5,5,120,20,0,192,7,Feb-28,27.42,9.6,17.14
JC Archer (RR),7,7,153,25.3,1,245,7,Mar-25,35,9.6,21.85
PJ Cummins (SRH),7,7,148,24.4,0,252,7,Mar-26,36,10.21,21.14
M Theekshana (RR),7,7,156,26,0,255,7,Feb-26,36.42,9.8,22.28
V Puthur (MI),4,4,66,11,0,94,6,Mar-32,15.66,8.54,11
B Kumar (RCB),5,5,114,19,0,149,6,Feb-26,24.83,7.84,19
YS Chahal (PBKS),6,6,114,19,0,195,6,Apr-28,32.5,10.26,19
TA Boult (MI),7,7,144,24,0,219,6,Feb-57,36.5,9.12,24
M Jansen (PBKS),6,6,127,21.1,0,221,6,Mar-17,36.83,10.44,21.16
Ashwani Kumar (MI),2,2,36,6,0,63,5,Apr-24,12.6,10.5,7.2
AD Russell (KKR),7,3,39,6.3,0,88,5,Feb-21,17.6,13.53,7.8
LH Ferguson (PBKS),4,4,68,11.2,0,104,5,Feb-37,20.8,9.17,13.6
R Ashwin (CSK),6,6,120,20,0,198,5,Feb-48,39.6,9.9,24
DL Chahar (MI),7,7,114,19,0,199,5,Feb-19,39.8,10.47,22.8
TU Deshpande (RR),6,6,108,18,0,208,5,Mar-44,41.6,11.55,21.6
Avesh Khan (LSG),6,6,135,22.3,0,224,5,Jan-32,44.8,9.95,27
Sandeep Sharma (RR),7,7,147,24.3,0,228,5,Feb-21,45.6,9.3,29.4
Mohammed Shami (SRH),7,7,144,24,0,261,5,Feb-28,52.2,10.87,28.8
E Malinga (SRH),2,2,48,8,0,81,4,Feb-36,20.25,10.12,12
GJ Maxwell (PBKS),6,6,78,13,0,110,4,01-May,27.5,8.46,19.5
RA Jadeja (CSK),7,7,97,16.1,0,138,4,Feb-24,34.5,8.53,24.25
Mukesh Kumar (DC),6,6,108,18,1,170,4,Jan-22,42.5,9.44,27
Zeeshan Ansari (SRH),5,5,109,18.1,0,176,4,Mar-42,44,9.68,27.25
Rashid Khan (GT),6,6,132,22,0,215,4,Feb-37,53.75,9.77,33
KV Sharma (MI),2,1,24,4,0,36,3,Mar-36,12,9,8
MM Ali (KKR),3,2,48,8,1,43,3,Feb-23,14.33,5.37,16
WG Jacks (MI),6,3,48,8,0,56,3,Feb-14,18.66,7,16
Akash Deep (LSG),4,4,72,12,0,147,3,Feb-55,49,12.25,24
MJ Santner (MI),7,7,129,21.3,0,203,3,Feb-43,67.66,9.44,43
A Kamboj (CSK),2,2,30,5,0,39,2,Jan-19,19.5,7.8,15
K Kartikeya (RR),3,3,36,6,0,56,2,Jan-21,28,9.33,18
M Siddharth (LSG),2,2,42,7,0,67,2,Feb-39,33.5,9.57,21
Arshad Khan (GT),4,4,42,7,0,68,2,Jan-17,34,9.71,21
LS Livingstone (RCB),6,5,54,9,0,76,2,Feb-28,38,8.44,27
K Rabada (GT),2,2,48,8,0,83,2,Jan-41,41.5,10.37,24
JJ Bumrah (MI),3,3,72,12,0,94,2,Jan-21,47,7.83,36
A Zampa (SRH),2,2,48,8,0,94,2,Jan-46,47,11.75,24
Simarjeet Singh (SRH),4,4,60,10,0,141,2,Feb-46,70.5,14.1,30
Suyash Sharma (RCB),5,5,120,20,0,175,2,Jan-25,87.5,8.75,60
MM Sharma (DC),6,6,114,19,0,182,2,01-Oct,91,9.57,57
PHKD Mendis (SRH),2,2,12,2,0,16,1,01-Apr,16,8,12
A Nortje (KKR),1,1,18,3,0,23,1,Jan-23,23,7.66,18
Mujeeb Ur Rahman (MI),1,1,12,2,0,28,1,Jan-28,28,14,12
Washington Sundar (GT),2,1,24,4,0,28,1,Jan-28,28,7,24
K Khejroliya (GT),1,1,18,3,0,29,1,Jan-29,29,9.66,18
XC Bartlett (PBKS),1,1,18,3,0,30,1,Jan-30,30,10,18
NT Ellis (CSK),1,1,24,4,0,38,1,Jan-38,38,9.5,24
AK Markram (LSG),7,2,30,5,0,40,1,Jan-25,40,8,30
PVSN Raju (MI),2,2,24,4,0,53,1,Jan-40,53,13.25,24
Rasikh Salam (RCB),2,2,36,6,0,70,1,Jan-35,70,11.66,36
Mukesh Choudhary (CSK),2,2,36,6,0,71,1,Jan-21,71,11.83,36
Prince Yadav (LSG),2,2,48,8,0,76,1,Jan-29,76,9.5,48
Yash Thakur (PBKS),2,2,39,6.3,0,79,1,Jan-39,79,12.15,39
I Sharma (GT),3,3,48,8,0,97,1,Jan-27,97,12.12,48
SH Johnson (KKR),4,4,68,11.2,0,133,1,Jan-42,133,11.73,68
AR Patel (DC),6,6,102,17,0,160,1,Jan-23,160,9.41,102
