Match Number,Date,Time,Team1,Team2,Venue,Latitude,Longitude,Pitch Type
1,2025-03-22,19:30,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",22.5646,88.3433,Batting-friendly
2,2025-03-23,15:30,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
3,2025-03-23,19:30,Chennai Super Kings,Mumbai Indians,"M.A. Chidambaram Stadium (Chepauk),Chennai",13.0629,80.2792,Spin-friendly
4,2025-03-24,19:30,Delhi Capitals,Lucknow Super Giants,"Dr Y.S.Rajashekar Reddy ACA-VDCA Cricket Stadium,Vishakapatnam",17.7215,83.3196,Balanced
5,2025-03-25,19:30,Gujarat Titans,Punjab Kings,"Narendra Modi Stadium,Ahmedabad",23.0918,72.5975,Balanced
6,2025-03-26,19:30,Rajasthan Royals,Kolkata Knight Riders,"Barsapara Cricket Stadium,Guwhati",26.1433,91.7663,Batting-friendly
7,2025-03-27,19:30,Sunrisers Hyderabad,Lucknow Super Giants,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
8,2025-03-28,19:30,Chennai Super Kings,Royal Challengers Bengaluru,"M. A. Chidambaram Stadium (Chepauk),Chennai",13.0629,80.2792,Spin-friendly
9,2025-03-29,19:30,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium,Ahmedabad",23.0918,72.5975,Balanced
10,2025-03-30,15:30,Delhi Capitals,Sunrisers Hyderabad,"Dr.Y.S. Rajashekar Reddy ACA-VDCA Cricket Stadium,Vishakapatnam",17.7215,83.3196,Balanced
11,2025-03-30,19:30,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",26.1452,91.7364,Batting-friendly
12,2025-03-31,19:30,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium,Mumbai",18.9389,72.8258,Batting-friendly
13,2025-04-01,19:30,Lucknow Super Giants,Punjab Kings,"Ekana Cricket Stadium,Lucknow",26.8619,80.9873,Bowler-friendly
14,2025-04-02,19:30,Royal Challengers Bengaluru,Gujarat Titans,"M. Chinnaswamy Stadium,Bengaluru",12.9788,77.5996,Batting-friendly
15,2025-04-03,19:30,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",22.5646,88.3433,Batting-friendly
16,2025-04-04,19:30,Lucknow Super Giants,Mumbai Indians,"Ekana Cricket Stadium,Lucknow",26.8619,80.9873,Bowler-friendly
17,2025-04-05,15:30,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium (Chepauk),Chennai",13.0629,80.2792,Spin-friendly
18,2025-04-05,19:30,Punjab Kings,Rajasthan Royals,"New PCA Stadium,Mullanpur",30.7788,76.7239,New venue
19,2025-04-06,19:30,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",22.5646,88.3433,Batting-friendly
20,2025-04-07,19:30,Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
21,2025-04-08,15:30,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium,Mumbai",18.9389,72.8258,Batting-friendly
22,2025-04-08,19:30,Punjab Kings,Chennai Super Kings,"New PCA Stadium,Mullanpur",30.7788,76.7239,New venue
23,2025-04-09,19:30,Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium,Ahmedabad",23.0918,72.5975,Balanced
24,2025-04-10,19:30,Royal Challengers Bengaluru,Delhi Capitals,"M.Chinnaswamy Stadium,Bengaluru",12.9788,77.5996,Batting-friendly
25,2025-04-11,19:30,Kolkata Knight Riders,Chennai Super Kings,"M. A. Chidambaram Stadium (Chepauk),Chennai",13.0629,80.2792,Spin-friendly
26,2025-04-12,15:30,Lucknow Super Giants,Gujarat Titans,"Ekana Cricket Stadium,Lucknow",26.8619,80.9873,Bowler-friendly
27,2025-04-12,19:30,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
