Team,Player Name,Player Type,Credits,2020M,2020P,2021M,2021P,2022M,2022P,2023M,2023P,2024M,2024P,Total Matches,Total Points,Average
CHE,Vansh Bedi,WK,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Andre Siddharth,BAT,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Ramakrishna Ghosh,ALL,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Shaik Rasheed,BAT,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Gurjapneet Singh,BOWL,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Matheesha Pathirana,BOWL,8.5,0,0,0,0,2,2,12,19,6,13,21,36,1.71
CHE,Noor Ahmad,BOWL,7.5,0,0,0,0,0,0,13,24,10,13,25,44,1.76
CHE,Anshul Kamboj,BOWL,6,0,0,0,0,0,0,0,0,3,2,3,2,0.67
CHE,Nathan Ellis,BOWL,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Mukesh Choudhary,BOWL,6.5,0,0,0,0,13,16,0,0,1,0,14,16,1.14
CHE,Ruturaj Gaikwad,BAT,9,6,204,16,635,14,368,16,590,14,583,68,2433,35.78
CHE,Kamlesh Nagarkoti,BOWL,6,10,27,1,0,1,0,0,0,0,0,12,27,2.25
CHE,Rachin Ravindra,BAT,8,0,0,0,0,0,0,0,0,10,252,12,392,32.67
CHE,Khaleel Ahmed,BOWL,7.5,7,112,7,65,10,160,9,90,14,170,49,657,13.41
CHE,Shivam Dube,BAT,8,11,173,9,232,11,289,16,418,14,411,63,1553,24.65
CHE,Rahul Tripathi,BAT,7.5,11,233,17,405,14,419,13,275,6,167,63,1506,23.9
CHE,Sam Curran,ALL,7.5,14,232,9,92,0,0,14,286,13,286,52,908,17.46
CHE,Shreyas Gopal,BOWL,6.5,14,147,3,7,1,10,0,0,3,30,21,194,9.24
CHE,Deepak Hooda,BAT,7,7,111,12,177,15,526,12,94,11,193,59,1109,18.8
CHE,Devon Conway,WK,8,0,0,0,0,7,354,16,896,0,0,23,1250,54.35
CHE,Jamie Overton,ALL,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Vijay Shankar,BAT,6.5,7,176,7,115,4,27,14,403,7,95,39,816,20.92
CHE,Ravichandran Ashwin,ALL,8,15,199,13,134,17,198,13,256,15,163,75,977,13.03
CHE,Ravindra Jadeja,ALL,8.5,14,198,16,287,10,160,16,382,14,204,72,1273,17.68
CHE,MS Dhoni,WK,7,14,216,16,152,14,289,16,157,14,199,76,1045,13.75
DC,Madhav Tiwari,ALL,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Manvanth Kumar L,ALL,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Tripurana Vijay,BOWL,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Vipraj Nigam,BOWL,5,0,0,0,0,0,0,0,0,0,0,1,8,8
DC,Tristan Stubbs,BAT,8,0,0,0,0,2,2,2,14,14,94,19,114,6
DC,Abishek Porel,WK,6.5,0,0,0,0,0,0,4,33,14,327,19,360,18.95
DC,Ashutosh Sharma,BAT,7,0,0,0,0,0,0,0,0,11,189,12,255,21.25
DC,Donovan Ferreira,ALL,7,0,0,0,0,0,0,0,0,2,8,2,8,4
DC,Sameer Rizvi,BAT,6.5,0,0,0,0,0,0,0,0,8,51,9,55,6.11
DC,Jake Fraser-McGurk,BAT,7.5,0,0,0,0,0,0,0,0,9,330,10,331,33.1
DC,Ajay Mandal,ALL,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Darshan Nalkande,BOWL,6.5,0,0,0,0,2,59,1,44,3,57,6,160,26.67
DC,T Natarajan,BOWL,7.5,16,520,2,71,11,424,12,420,14,484,55,1919,34.89
DC,Mukesh Kumar,BOWL,7,0,0,0,0,0,0,10,326,10,368,21,716,34.1
DC,Kuldeep Yadav,BOWL,8.5,5,92,0,0,14,419,14,361,11,374,45,1266,28.13
DC,Mohit Sharma,BOWL,7.5,1,45,0,0,0,0,14,361,12,425,28,873,31.18
DC,Lokesh Rahul,WK,9,14,670,13,626,15,616,9,274,14,520,65,2706,41.63
DC,Axar Patel,ALL,9,15,342,12,415,13,332,14,558,14,510,69,2179,31.58
DC,Dushmantha Chameera,BOWL,7,0,0,0,0,12,268,0,0,1,0,13,268,20.62
DC,Karun Nair,BAT,7,4,32,0,0,3,24,0,0,0,0,7,56,8
DC,Faf du Plessis,BAT,8.5,13,449,16,633,16,468,14,730,15,438,75,2747,36.63
DC,Mitchell Starc,BOWL,8.5,0,0,0,0,0,0,0,0,14,26,15,31,2.07
GT,Gurnoor Brar Singh,BOWL,5.5,0,0,0,0,0,0,1,0,0,0,1,0,0
